,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
81,semantic-search-nextjs-pinecone-langchain-chatgpt,dabit3,"Embeds text files into vectors, stores them on Pinecone, and enables semantic search using GPT3 and Langchain in a Next.js UI",https://github.com/dabit3/semantic-search-nextjs-pinecone-langchain-chatgpt,TypeScript,2023-05-28T13:40:17Z,2024-09-23T16:19:23Z,744,106,2,
82,langchain4j-spring,langchain4j,LangChain4j integration with Spring,https://github.com/langchain4j/langchain4j-spring,Java,2023-12-21T07:28:47Z,2024-10-04T09:58:47Z,108,35,1,Apache License 2.0
83,agentkit,BCG-X-Official,"Starter-kit to build constrained agents with Nextjs, FastAPI and Langchain",https://github.com/BCG-X-Official/agentkit,TypeScript,2024-01-25T20:38:53Z,2024-10-03T14:48:44Z,1553,203,25,MIT License
84,amazon-kendra-langchain-extensions,aws-samples,Samples to build Generative AI applications with LangChain and Amazon Kendra,https://github.com/aws-samples/amazon-kendra-langchain-extensions,Python,2023-04-24T21:12:08Z,2024-09-19T16:50:14Z,159,103,10,MIT No Attribution
85,langchain-aws,langchain-ai,Build LangChain Applications on AWS,https://github.com/langchain-ai/langchain-aws,Python,2024-03-06T21:29:00Z,2024-10-04T22:58:54Z,97,71,69,MIT License
86,Langchain-Production-Project,Coding-Crashkurse,,https://github.com/Coding-Crashkurse/Langchain-Production-Project,Python,2023-06-13T19:01:50Z,2024-10-04T22:35:28Z,139,76,2,
87,langchain-ask-csv,alejandro-ao,A Langchain app that allows you to ask questions to a CSV file,https://github.com/alejandro-ao/langchain-ask-csv,Python,2023-05-06T14:28:26Z,2024-09-30T06:16:12Z,125,83,6,
88,langchain-ray,ray-project,Examples on how to use LangChain and Ray,https://github.com/ray-project/langchain-ray,Python,2023-04-24T22:35:29Z,2024-09-13T09:58:08Z,217,47,6,Apache License 2.0
89,langchain-js-tutorial,mayooear,LangChain beginner's tutorial for javascript/typescript,https://github.com/mayooear/langchain-js-tutorial,TypeScript,2023-03-01T01:40:08Z,2024-09-11T04:20:05Z,174,68,2,
90,learn-langchain,paolorechia,,https://github.com/paolorechia/learn-langchain,Python,2023-04-18T20:08:53Z,2024-05-27T05:20:57Z,275,41,6,MIT License
91,vercel-langchain,homanp,Example of running LangChain on Vercel,https://github.com/homanp/vercel-langchain,Python,2023-02-01T07:49:01Z,2024-09-26T14:13:19Z,166,51,3,
92,langchain-benchmarks,langchain-ai,🦜💯 Flex those feathers!,https://github.com/langchain-ai/langchain-benchmarks,Python,2023-08-10T21:31:11Z,2024-10-05T02:28:52Z,229,46,14,MIT License
