,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
88,Paper,pilgr,Paper is a fast NoSQL-like storage for Java/Kotlin objects on Android with automatic schema migration support.,https://github.com/pilgr/Paper,Java,2015-06-11T20:55:15Z,2024-10-05T15:55:36Z,2342,234,18,Apache License 2.0
89,pika,OpenAtomFoundation,Pika is a Redis-Compatible database developed by Qihoo's infrastructure team.,https://github.com/OpenAtomFoundation/pika,C++,2014-11-03T16:36:53Z,2024-10-05T06:41:08Z,5848,1190,66,"BSD 3-Clause ""New"" or ""Revised"" License"
90,lucene,apache,Apache Lucene open-source search software,https://github.com/apache/lucene,Java,2021-02-23T17:16:56Z,2024-10-05T18:22:17Z,2621,1022,2302,Apache License 2.0
91,kvrocks,apache,Apache Kvrocks is a distributed key value NoSQL database that uses RocksDB as storage engine and is compatible with Redis protocol.,https://github.com/apache/kvrocks,C++,2019-08-15T06:04:51Z,2024-10-06T13:05:29Z,3487,456,151,Apache License 2.0
92,nosql-1,jaresh,"Technologie NoSQL, r. akad. 2015/16",https://github.com/jaresh/nosql-1,,2015-10-17T15:34:54Z,2018-03-28T21:04:36Z,0,83,0,
93,SleekDB,SleekDB,"Pure PHP NoSQL database with no dependency. Flat file, JSON based document database.",https://github.com/SleekDB/SleekDB,PHP,2018-04-13T17:50:14Z,2024-10-05T16:00:55Z,899,81,31,MIT License
94,sql-nosql-study,ga-wdi-boston,,https://github.com/ga-wdi-boston/sql-nosql-study,,2015-11-16T21:14:04Z,2017-04-26T14:53:04Z,0,97,2,Other
95,NoSQL,master-ds2e,The 2020-2021 NoSQL course,https://github.com/master-ds2e/NoSQL,Jupyter Notebook,2020-10-20T12:43:19Z,2024-05-22T09:01:40Z,6,14,0,
96,dsc-nosql-databases-section-intro,learn-co-curriculum,,https://github.com/learn-co-curriculum/dsc-nosql-databases-section-intro,Jupyter Notebook,2019-03-19T08:41:30Z,2024-07-11T14:54:55Z,3,91,0,Other
97,lucene-solr,apache,Apache Lucene and Solr open-source search software,https://github.com/apache/lucene-solr,,2016-01-23T08:00:06Z,2024-10-03T18:47:48Z,4370,2660,232,Apache License 2.0
98,workshop-intro-to-cassandra,datastaxdevs,Learn Apache Cassandra fundamentals in this hands-on workshop,https://github.com/datastaxdevs/workshop-intro-to-cassandra,,2020-08-24T16:51:37Z,2024-10-01T16:38:59Z,219,167,359,Apache License 2.0
99,nosql-java-sdk,oracle,SDK for Java for the Oracle NoSQL Database,https://github.com/oracle/nosql-java-sdk,Java,2020-09-27T00:05:54Z,2024-09-27T18:53:28Z,24,23,3,Universal Permissive License v1.0
100,ravendb,ravendb,ACID Document Database,https://github.com/ravendb/ravendb,C#,2010-03-02T11:05:30Z,2024-10-06T11:38:37Z,3559,821,52,Other
101,tigris,tigrisdata-archive,Tigris is an Open Source Serverless NoSQL Database and Search Platform.,https://github.com/tigrisdata-archive/tigris,Go,2022-01-20T02:16:49Z,2024-10-03T03:08:21Z,907,38,40,Apache License 2.0
102,nosqlite,williamstein,"noSQLite is a lightweight zeroconf noSQL document-oriented forking Python SQLite networked authenticated XMLRPC database server. It's written using Python and SQLite to provide a very lightweight and easy way to use SQLite that offers somewhat similar functionality to MongoDB (at least the parts I use), but much more lightweight",https://github.com/williamstein/nosqlite,Python,2012-03-29T10:14:01Z,2024-04-21T21:03:58Z,70,9,0,
103,vulnerable-node-app,Charlie-belmer,A NoSQL Injectable Node App,https://github.com/Charlie-belmer/vulnerable-node-app,JavaScript,2019-08-05T18:08:07Z,2024-07-14T16:27:02Z,41,26,2,
104,NoSQLiteDatabaseTest,slidenerd,How to create a database in Android using ActiveAndroid library to avoid SQLite code ,https://github.com/slidenerd/NoSQLiteDatabaseTest,Java,2014-09-10T17:19:55Z,2023-11-12T03:41:10Z,26,25,1,
105,sybil,logv,columnar storage + NoSQL OLAP engine | https://logv.org,https://github.com/logv/sybil,Go,2016-01-27T03:50:27Z,2024-09-20T12:15:03Z,305,25,30,Other
106,cosmosdb-nosql-copilot,AzureCosmosDB,"Build a copilot application with Azure OpenAI Service, Azure Cosmos DB & Azure App Service.",https://github.com/AzureCosmosDB/cosmosdb-nosql-copilot,C#,2024-06-13T16:13:48Z,2024-10-04T16:43:40Z,32,18,1,MIT License
107,syslog-ng,syslog-ng,"syslog-ng is an enhanced log daemon, supporting a wide range of input and output methods: syslog, unstructured text, queueing, SQL & NoSQL.",https://github.com/syslog-ng/syslog-ng,C,2013-11-05T16:22:02Z,2024-10-05T17:20:49Z,2115,468,190,Other
108,LocalDB.js,Agnostic,Lightweight NoSQL ODM for modern browsers.,https://github.com/Agnostic/LocalDB.js,JavaScript,2013-05-11T22:34:51Z,2024-03-12T07:21:27Z,103,20,2,
109,dynomite,Netflix,A generic dynamo implementation for different k-v storage engines,https://github.com/Netflix/dynomite,C,2013-10-10T22:36:31Z,2024-09-26T22:25:51Z,4192,531,115,Apache License 2.0
110,SQL-NoSQL-Guide,mikeroyal,SQL/NoSQL DB Guide. Learn about SQL/NoSQL databases & Distributed Systems.,https://github.com/mikeroyal/SQL-NoSQL-Guide,Go,2020-09-13T18:08:50Z,2024-09-09T17:05:17Z,57,15,0,
111,nosql2022,Skalas,,https://github.com/Skalas/nosql2022,TeX,2022-08-11T04:47:21Z,2023-12-15T00:48:01Z,5,13,0,GNU General Public License v3.0
112,tidis,tidb-incubator,A distributed transactional large-scale NoSQL database powered by TiKV,https://github.com/tidb-incubator/tidis,Rust,2022-04-22T02:25:53Z,2024-09-27T07:40:49Z,460,30,19,Apache License 2.0
113,Data-Systems,saturn-lab,"data systems, database, SQL, NoSQL, NewSQL",https://github.com/saturn-lab/Data-Systems,Jupyter Notebook,2019-12-09T09:30:23Z,2024-03-21T01:16:04Z,6,67,0,
114,bolthold,timshannon,BoltHold is an embeddable NoSQL store for Go types built on BoltDB,https://github.com/timshannon/bolthold,Go,2016-04-01T02:22:59Z,2024-09-30T22:06:11Z,644,45,9,MIT License
115,valkey,valkey-io,A flexible distributed key-value datastore that supports both caching and beyond caching workloads.,https://github.com/valkey-io/valkey,C,2024-03-22T00:42:17Z,2024-10-06T12:49:23Z,16412,611,258,Other
116,stampede,torodb,The ToroDB solution to provide better analytics on top of MongoDB and make it easier to migrate from MongoDB to SQL ,https://github.com/torodb/stampede,Java,2014-10-23T17:04:21Z,2024-10-05T03:52:40Z,1764,119,6,GNU Affero General Public License v3.0
117,video-membership,codingforentrepreneurs,Create a Video Membership app using FastAPI & NoSQL,https://github.com/codingforentrepreneurs/video-membership,Python,2021-12-02T18:15:05Z,2024-10-04T15:52:16Z,106,32,1,
118,zeppelin,apache,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala and more.",https://github.com/apache/zeppelin,Java,2015-03-25T07:00:06Z,2024-10-05T19:58:22Z,6389,2808,177,Apache License 2.0
119,zorba,zorba-processor,Zorba - the NoSQL processor,https://github.com/zorba-processor/zorba,C++,2016-05-27T02:56:03Z,2024-07-03T13:56:27Z,42,16,13,Apache License 2.0
120,DBreeze,hhblaze,C# .NET NOSQL ( key value store embedded ) ACID multi-paradigm database management system.,https://github.com/hhblaze/DBreeze,C#,2013-08-12T07:34:47Z,2024-10-03T14:48:37Z,527,58,1,"BSD 2-Clause ""Simplified"" License"
121,dsc-nosql-databases,learn-co-curriculum,,https://github.com/learn-co-curriculum/dsc-nosql-databases,Jupyter Notebook,2019-03-19T08:41:10Z,2024-07-11T15:22:44Z,1,70,0,Other
122,cassandra-gocql-driver,apache,GoCQL Driver for Apache Cassandra®,https://github.com/apache/cassandra-gocql-driver,Go,2012-08-26T15:42:42Z,2024-10-04T01:13:27Z,2573,618,237,Apache License 2.0
